key,execution,type,correctiveActions,mark,optionalLink,project,auditor,auditRecord
AUD-004,"2022-01-25T08:15:00",DINAMIC,"Enhance user authentication","A",http://example.com/code-audits-004,Project-D,auditor-004,audit-record-004
AUD-005,"2022-01-30T16:45:00",STATIC,"Optimize database queries","B",http://example.com/code-audits-005,Project-E,auditor-005,audit-record-005
AUD-006,"2022-02-05T11:30:00",DINAMIC,"Update encryption algorithms","C",http://example.com/code-audits-006,Project-F,auditor-006,audit-record-006
AUD-007,"2022-02-10T09:00:00",STATIC,"Implement logging mechanism","A",http://example.com/code-audits-007,Project-G,auditor-007,audit-record-007
AUD-008,"2022-02-15T14:30:00",DINAMIC,"Fix input validation issues","B",http://example.com/code-audits-008,Project-H,auditor-008,audit-record-008
AUD-009,"2022-02-20T10:45:00",STATIC,"Enhance error handling","C",http://example.com/code-audits-009,Project-I,auditor-009,audit-record-009
AUD-010,"2022-02-25T08:15:00",DINAMIC,"Optimize frontend performance","A",http://example.com/code-audits-010,Project-J,auditor-010,audit-record-010
AUD-011,"2022-03-01T16:45:00",STATIC,"Implement secure file uploads","B",http://example.com/code-audits-011,Project-K,auditor-001,audit-record-011
AUD-012,"2022-03-06T11:30:00",DINAMIC,"Update third-party libraries","C",http://example.com/code-audits-012,Project-L,auditor-002,audit-record-012
AUD-013,"2022-03-11T09:00:00",STATIC,"Fix SQL injection vulnerabilities","A",http://example.com/code-audits-013,Project-M,auditor-003,audit-record-013
